agency,name,employer,fundingSource,Person_ID,Employer_ID
Office of the Comptroller of the Currency,Matthew Lusco,Regions Financial Corporation,Private,120227,
Office of the Comptroller of the Currency,Heath Tarbert,Allen & Overy LLP,Volunteer,,
Office of the Comptroller of the Currency,Chelsea Pizzola,Committee on Capital Markets Regulation (Formerly),Volunteer,,45367
Office of the Director of National Intelligence,Paul Becker,The Becker T3 Group LLC,Volunteer,,
Office of the Director of National Intelligence,Brad Hansell,The Boston Consulting Group,Private,,28613
Office of the Director of National Intelligence,Thomas Higgins,First Data,Private,,316
Office of the Director of National Intelligence,James Hoskins,Scitor Corporation (Retired),Volunteer,,
Office of the Director of National Intelligence,Geof Kahn,U.S. House — Permanent Select Committee on Intelligence,Transition Entity,,
Office of the Director of National Intelligence,"L. Roger Mason, Jr.",Noblis,Volunteer,,133375
Office of the Director of National Intelligence,Benjamin Powell,WilmerHale,Volunteer,,40846
Office of the Director of National Intelligence,Bijan Rafiekian,National Defense University Foundation,Volunteer,,
Office of the Director of National Intelligence,James Renne,Renne Law,Volunteer,,
Office of the Director of National Intelligence,Bryan Smith,Beacon Global Strategies LLC,Volunteer,,
Office of the Director of National Intelligence,Reagan Thompson,Office of Representative Michael R. Pompeo,Transition Entity,,
Office of the Director of National Intelligence,Annette Torrisi,General Dynamics,Private,,88
Office of the Director of National Intelligence,Juan Zarate,The Financial Integrity Network,Volunteer,88302,
Office of Management and Budget,Justin Bogie,The Heritage Foundation,Private,,33796
Office of Management and Budget,David Burton,The Heritage Foundation,Private,,33796
Office of Management and Budget,Karen Evans,"KE&T Partners, LLC",Volunteer,174759,
Office of Management and Budget,Dan Kowalski,U.S. Senate — Budget Committee,Transition Entity,,12953
Office of Management and Budget,Pat Pizzella,Federal Labor Relations Authority,Volunteer,,
Office of Management and Budget,Mark Robbins,U.S. Merit Systems Protection Board,Volunteer,44304,14644
Office of Management and Budget,Linda Springer,Ernst & Young LLP (Retired),Volunteer,,16909
Office of Management and Budget,Russ Vought,Heritage Action for America,Volunteer,115231,115206
Office of Management and Budget,Paul Winfree,The Heritage Foundation,Private,,33796
Office of Personnel Management,Paul Conway,Independent Consultant,Volunteer,69130,
Office of Personnel Management,James Imoehl,Gloucester Institute,Volunteer,,
Office of Personnel Management,John Mullins,"The Millennium Group International, LLC",Volunteer,2248,
Office of Personnel Management,James Sherk,The Heritage Foundation,Private,,33796
Office of the U.S. Trade Representative,Nova Daly,Wiley Rein LLP,Volunteer,,15798
Office of the U.S. Trade Representative,Dan DiMicco,Nucor Corporation (Retired),Volunteer,3086,152
Office of the U.S. Trade Representative,Jeff Gerrish,"Skadden, Arps, Slate, Meagher, & Flom LLP",Volunteer,23173,16884
Office of the U.S. Trade Representative,Robert Lighthizer,"Skadden, Arps, Slate, Meagher & Flom LLP",Volunteer,21694,16884
Office of the U.S. Trade Representative,Rolf Lundberg,The Lundberg Group LLC,Volunteer,24085,
Office of the U.S. Trade Representative,Stephen Vaughn,King & Spalding LLP,Volunteer,,15687
Small Business Administration,Deanna Bass,Bass Public Affairs,Volunteer,,
Small Business Administration,Mary Anne Bradfield,Accelerated Development & Support Corp.,Private,,
Small Business Administration,William Manger,Brock Capital Group LLC,Volunteer,31657,
Small Business Administration,Anthony Paranzino,University of Wisconsin,Volunteer,,34485
Small Business Administration,Anthony Parker,Parker Tide Corporation,Volunteer,,
Small Business Administration,A. Joseph Shepard II,Archway Capital,Volunteer,,
Social Security Administration,David Black,Social Security Administration (formerly),Volunteer,,14656
Social Security Administration,Tom Leppert,"Kaplan, Inc. (Retired)",Volunteer,96420,98154
U.S. Securities and Exchange Commission,Sharon Brown-Hruska,NERA Economic Consulting,Volunteer,,134882
U.S. Securities and Exchange Commission,Alexander F. Cohen,Latham & Watkins LLP,Volunteer,188829,28429
U.S. Securities and Exchange Commission,James Lloyd,Sidley Austin LLP (Formerly),Volunteer,,159289
White House / Executive Office of the President,Sean Cairncross,Republican National Committee,Volunteer,,28778
White House / Executive Office of the President,Gary D. Cohn,"The Goldman Sachs Group, Inc.",Volunteer,1346,20
White House / Executive Office of the President,Rick Dearborn,U.S. Senator Jeff Sessions,Transition entity,246502,13581
White House / Executive Office of the President,Joseph Hagin,Command Consulting Group,Volunteer,,
White House / Executive Office of the President,Marcia Lee Kelly,"Trump for America, Inc.",Transition entity,,
White House / Executive Office of the President,Don McGahn,Jones Day,Volunteer,253670,28485
White House / Executive Office of the President,Jennifer Pavlick,"Trump for America, Inc.",Transition entity,,
White House / Executive Office of the President,Josh Pitcock,"Trump for America, Inc.",Transition entity,,
White House / Executive Office of the President,Reince Priebus,Republican National Committee,Volunteer,73402,28778
White House / Executive Office of the President,Katie Walsh,Republican National Committee,Volunteer,,28778
