"CID","CRPName","Party","Office","FECCandID"
"N00031227","Bucshon, Larry","R","IN08","H0IN08114"
"N00025219","Burgess, Michael","R","TX26","H2TX26093"
"N00002221","Burr, Richard","R","NCS2","S4NC00089"
"N00033390","Bustos, Cheri","D","IL17","H2IL17071"
"N00027035","Butterfield, G K","D","NC01","H4NC01046"
"N00035380","Byrne, Bradley","R","AL01","H4AL01123"
"N00007099","Calvert, Ken","R","CA42","H2CA37023"
"N00007836","Cantwell, Maria","D","WAS1","S8WA00194"
"N00009771","Capito, Shelley Moore","R","WVS2","S4WV00159"
"N00007232","Capps, Lois","D","CA24","H8CA22089"
"N00000267","Capuano, Michael E","D","MA07","H8MA08071"
"N00033373","Cardenas, Tony","D","CA29","H2CA28113"
"N00001955","Cardin, Ben","D","MDS1","S6MD03177"
"N00030736","Carney, John","D","DE01","H0DE01017"
"N00012508","Carper, Tom","D","DES1","S8DE00079"
"N00029513","Carson, Andre","D","IN07","H8IN07184"
"N00035346","Carter, Buddy","R","GA01","H4GA01039"
"N00025095","Carter, John","R","TX31","H2TX31044"
"N00034128","Cartwright, Matt","D","PA17","H2PA17079"
"N00027503","Casey, Bob","D","PAS2","S6PA00217"
"N00030245","Cassidy, Bill","R","LAS1","S4LA00107"
"N00027514","Castor, Kathy","D","FL14","H6FL11126"
"N00033316","Castro, Joaquin","D","TX20","H2TX35011"
"N00003689","Chabot, Steve","R","OH01","H8OH01043"
"N00028958","Chaffetz, Jason","R","UT03","H8UT03089"
"N00030600","Chu, Judy","D","CA27","H0CA32101"
"N00032019","Cicilline, David","D","RI01","H0RI01073"
"N00035278","Clark, Katherine","D","MA05","H4MA05084"
"N00026961","Clarke, Yvette D","D","NY09","H4NY11138"
"N00035854","Clawson, Curt","R","FL19","H4FL19074"
"N00012460","Clay, William L Jr","D","MO01","H0MO01066"
"N00026790","Cleaver, Emanuel","D","MO05","H4MO05234"
"N00002408","Clyburn, James E","D","SC06","H2SC02042"
"N00003845","Coats, Dan","R","INS2","S0IN00053"
"N00003328","Cochran, Thad","R","MSS1","S8MS00055"
"N00024753","Coffman, Mike","R","CO06","H8CO06138"
"N00003225","Cohen, Steve","D","TN09","H6TN09068"
"N00025726","Cole, Tom","R","OK04","H2OK04055"
"N00036158","Coleman, Bonnie","D","NJ12","H4NJ12149"
"N00001285","Collins, Chris","R","NY27","H8NY29032"
"N00033518","Collins, Doug","R","GA09","H2GA09150"
"N00000491","Collins, Susan M","R","MES2","S6ME00159"
"N00036023","Comstock, Barbara","R","VA10","H4VA10089"
"N00026041","Conaway, Mike","R","TX11","H4TX19136"
"N00029891","Connolly, Gerry","D","VA11","H8VA11062"
"N00004029","Conyers, John Jr","D","MI13","H6MI01028"
"N00034224","Cook, Paul","R","CA08","H2CA08164"
"N00031820","Coons, Chris","D","DES2","S0DE00092"
"N00003132","Cooper, Jim","D","TN05","H2TN05131"
"N00027441","Corker, Bob","R","TNS1","S6TN00216"
"N00024852","Cornyn, John","R","TXS1","S2TX00106"
"N00026341","Costa, Jim","D","CA16","H4CA20082"
"N00031064","Costello, Ryan","R","PA06","H0PA06076"
"N00033363","Cotton, Tom","R","ARS1","S4AR00103"
"N00024842","Courtney, Joe","D","CT02","H2CT02112"
"N00004614","Cramer, Kevin","R","ND01","H0ND01026"
"N00006267","Crapo, Mike","R","IDS2","S8ID00027"
"N00030770","Crawford, Rick","R","AR01","H0AR01083"
"N00012739","Crenshaw, Ander ","R","FL04","H0FL04066"
"N00001127","Crowley, Joseph","D","NY14","H8NY07046"
"N00033085","Cruz, Ted","R","TXS2","P60006111"
"N00024978","Cuellar, Henry","D","TX28","H2TX23082"
"N00009738","Culberson, John","R","TX07","H0TX07055"
"N00001971","Cummings, Elijah E","D","MD07","H6MD07160"
"N00035403","Curbelo, Carlos","R","FL26","H4FL26038"
"N00033054","Daines, Steven","R","MTS2","S2MT00096"
"N00004884","Davis, Danny K","D","IL07","H4IL07037"
"N00034784","Davis, Rodney","R","IL13","H2IL13120"
"N00009604","Davis, Susan A","D","CA53","H0CA49055"
"N00007781","DeFazio, Peter","D","OR04","H6OR04047"
"N00006134","DeGette, Diana","D","CO01","H6CO01141"
"N00033897","Delaney, John K","D","MD06","H2MD06195"
"N00000615","DeLauro, Rosa L","D","CT03","H0CT03072"
"N00030693","DelBene, Suzan","D","WA01","H0WA08046"
"N00031593","Denham, Jeff","R","CA10","H0CA19173"
"N00026171","Dent, Charlie","R","PA15","H4PA15087"
"N00034746","DeSantis, Ron","R","FL06","S6FL00293"
"N00030709","Desaulnier, Mark","D","CA11","H0CA10073"
"N00030957","Desjarlais, Scott","R","TN04","H0TN04195"
"N00031317","Deutch, Ted","D","FL21","H0FL19080"
"N00025337","Diaz-Balart, Mario","R","FL25","H2FL25018"
"N00036149","Dingell, Debbie","D","MI12","H4MI12079"
"N00006023","Doggett, Lloyd","D","TX35","H4TX10028"
"N00031103","Dold, Bob","R","IL10","H0IL10302"
"N00026586","Donnelly, Joe","D","INS1","S2IN00091"
"N00036928","Donovan, Dan","R","NY11","H5NY11010"
"N00001373","Doyle, Mike","D","PA14","H4PA18131"
"N00027860","Duckworth, Tammy","D","IL08","S6IL00292"
"N00030967","Duffy, Sean P","R","WI07","H0WI07051"
"N00030752","Duncan, Jeff","R","SC03","H0SC03077"
"N00003209","Duncan, John J Jr","R","TN02","H8TN02069"
"N00004981","Durbin, Dick","D","ILS1","S6IL00151"
"N00028249","Edwards, Donna","D","MD04","S6MD03458"
"N00028257","Ellison, Keith","D","MN05","H6MN05183"
"N00031513","Ellmers, Renee","R","NC02","H0NC02059"
"N00035440","Emmer, Tom","R","MN06","H4MN06087"
"N00001003","Engel, Eliot L","D","NY16","H8NY19058"
"N00006249","Enzi, Mike","R","WYS2","S6WY00126"
"N00035483","Ernst, Joni","R","IAS2","S4IA00129"
"N00007335","Eshoo, Anna","D","CA18","H8CA12098"
"N00033217","Esty, Elizabeth","D","CT05","H2CT05131"
"N00031672","Farenthold, Blake","R","TX27","H0TX27061"
"N00007312","Farr, Sam","D","CA20","H4CA17021"
"N00001746","Fattah, Chaka","D","PA02","H2PA02055"
"N00007364","Feinstein, Dianne","D","CAS2","S0CA00199"
"N00031141","Fincher, Steve","R","TN08","H0TN08246"
"N00033443","Fischer, Deb","R","NES1","S2NE00094"
"N00027229","Fitzpatrick, Michael G","R","PA08","H4PA08074"
"N00009573","Flake, Jeff","R","AZS2","S2AZ00141"
"N00030815","Fleischmann, Chuck","R","TN03","H0TN03254"
"N00029679","Fleming, John","R","LA04","S6LA00318"
"N00031545","Flores, Bill","R","TX17","H0TX17104"
"N00013799","Forbes, Randy","R","VA04","H2VA04052"
"N00026631","Fortenberry, Jeff","R","NE01","H4NE01064"
"N00029139","Foster, Bill","D","IL11","H8IL14067"
"N00026166","Foxx, Virginia","R","NC05","H4NC05146"
"N00002893","Frankel, Lois J","D","FL22","H2FL14053"
"N00029016","Franken, Al","D","MNS1","S8MN00438"
"N00006423","Franks, Trent","R","AZ08","H4AZ04024"
"N00000684","Frelinghuysen, Rodney","R","NJ11","H2NJ05014"
"N00030490","Fudge, Marcia L","D","OH11","H8OH11141"
"N00033281","Gabbard, Tulsi","D","HI02","H2HI02508"
"N00036097","Gallego, Ruben","D","AZ07","H4AZ07043"
"N00030856","Garamendi, John","D","CA03","H0CA10149"
"N00030780","Gardner, Cory","R","COS2","S4CO00395"
"N00000743","Garrett, Scott","R","NJ05","H8NJ05052"
"N00031128","Gibbs, Bob","R","OH07","H0OH18077"
"N00031998","Gibson, Chris","R","NY19","H0NY20095"
"N00027658","Gillibrand, Kirsten","D","NYS1","S0NY00410"
"N00026148","Gohmert, Louis B Jr","R","TX01","H4TX04039"
"N00009154","Goodlatte, Bob","R","VA06","H2VA06115"
"N00030771","Gosar, Paul","R","AZ04","H0AZ01259"
"N00030880","Gowdy, Trey","R","SC04","H0SC04257"
"N00035688","Graham, Gwen","D","FL02","H4FL02062"
"N00009975","Graham, Lindsey","R","SCS2","S0SC00149"
"N00008799","Granger, Kay","R","TX12","H6TX12060"
"N00001758","Grassley, Chuck","R","IAS1","S0IA00028"
"N00036135","Graves, Garret","R","LA06","H4LA06153"
"N00013323","Graves, Sam","R","MO06","H0MO06073"
"N00030788","Graves, Tom","R","GA14","H0GA09030"
"N00028418","Grayson, Alan","D","FL09","S6FL00376"
"N00026686","Green, Al","D","TX09","H4TX09095"
"N00005870","Green, Gene","D","TX29","H2TX29030"
"N00032029","Griffith, Morgan","R","VA09","H0VA09055"
"N00025284","Grijalva, Raul M","D","AZ03","H2AZ07070"
"N00029400","Grisham, Michelle Lujan","D","NM01","H8NM01257"
"N00036409","Grothman, Glenn S","R","WI06","H4WI06048"
"N00030801","Guinta, Frank","R","NH01","H0NH01217"
"N00029675","Guthrie, Brett","R","KY02","H8KY02031"
"N00004874","Gutierrez, Luis V","D","IL04","H2IL08039"
"N00006806","Hahn, Janice","D","CA44","H8CA36097"
"N00030197","Hanna, Richard","R","NY22","H8NY24066"
"N00035628","Hardy, Cresent","R","NV04","H4NV04017"
"N00029632","Harper, Gregg","R","MS03","H8MS03067"
"N00029147","Harris, Andy","R","MD01","H8MD01094"
"N00031005","Hartzler, Vicky","R","MO04","H0MO04086"
"N00002884","Hastings, Alcee L","D","FL20","H2FL23021"
"N00009869","Hatch, Orrin G","R","UTS1","S6UT00063"
"N00031557","Heck, Dennis","D","WA10","H0WA03161"
"N00031244","Heck, Joe","R","NV03","S6NV00218"
"N00029835","Heinrich, Martin","D","NMS1","S2NM00088"
"N00033782","Heitkamp, Heidi","D","NDS2","S2ND00099"
"N00027522","Heller, Dean","R","NVS1","S2NV00183"
"N00024922","Hensarling, Jeb","R","TX05","H2TX05121"
"N00031559","Herrera Beutler, Jaime","R","WA03","H0WA03187"
"N00032243","Hice, Jody B","R","GA10","H0GA07125"
"N00027060","Higgins, Brian M","D","NY26","H4NY27076"
"N00035792","Hill, French","R","AR02","H4AR02141"
"N00029070","Himes, Jim","D","CT04","H8CT04172"
"N00006008","Hinojosa, Ruben","D","TX15","H6TX15055"
"N00028139","Hirono, Mazie K","D","HIS2","S2HI00106"
"N00031688","Hoeven, John","R","NDS1","S0ND00093"
"N00033399","Holding, George","R","NC13","H2NC13110"
"N00012611","Honda, Mike","D","CA17","H0CA15148"
"N00001821","Hoyer, Steny H","D","MD05","H2MD05155"
"N00033630","Hudson, Richard","R","NC08","H2NC08185"
"N00027649","Huelskamp, Tim","R","KS01","H6KS01146"
"N00033030","Huffman, Jared","D","CA02","H2CA06259"
"N00030673","Huizenga, Bill","R","MI02","H0MI02094"
"N00031104","Hultgren, Randy","R","IL14","H0IL14080"
"N00029258","Hunter, Duncan D","R","CA50","H8CA52052"
"N00031417","Hurd, Will","R","TX23","H0TX23086"
"N00031265","Hurt, Robert","R","VA05","H0VA05095"
"N00005582","Inhofe, James M","R","OKS2","S4OK00083"
"N00002593","Isakson, Johnny","R","GAS2","S6GA00119"
"N00013345","Israel, Steve","D","NY03","H0NY02085"
"N00007017","Issa, Darrell","R","CA49","H0CA48024"
"N00005818","Jackson Lee, Sheila","D","TX18","H4TX18054"
"N00033640","Jeffries, Hakeem","D","NY08","H2NY10092"
"N00035531","Jenkins, Evan","R","WV03","H4WV03070"
"N00029077","Jenkins, Lynn","R","KS02","H8KS02090"
"N00032088","Johnson, Bill","R","OH06","H0OH06189"
"N00008122","Johnson, Eddie Bernice","D","TX30","H2TX00015"
"N00027848","Johnson, Hank","D","GA04","H6GA04129"
"N00032546","Johnson, Ron","R","WIS2","S0WI00197"
"N00008028","Johnson, Sam","R","TX03","H2TX03118"
"N00035717","Jolly, David","R","FL13","S6FL00350"
"N00002299","Jones, Walter B Jr","R","NC03","H2NC01081"
"N00027894","Jordan, Jim","R","OH04","H6OH04082"
"N00035007","Joyce, David P","R","OH14","H2OH14064"
"N00033177","Kaine, Tim","D","VAS1","S2VA00142"
"N00003522","Kaptur, Marcy","D","OH09","H2OH09031"
"N00035934","Katko, John","R","NY24","H4NY24073"
"N00031933","Keating, Bill","D","MA09","H0MA10082"
"N00031647","Kelly, Mike","R","PA03","H0PA03271"
"N00035215","Kelly, Robin","D","IL02","H2IL02172"
"N00037003","Kelly, Trent","R","MS01","H5MS01059"
"N00034044","Kennedy, Joe III","D","MA04","H2MA04073"
"N00033395","Kildee, Dan","D","MI05","H2MI05119"
"N00034453","Kilmer, Derek","D","WA06","H2WA06129"
"N00004403","Kind, Ron","D","WI03","H6WI03099"
"N00034580","King, Angus","I","MES1","S2ME00109"
"N00001193","King, Pete","R","NY02","H2NY03089"
"N00025237","King, Steven A","R","IA04","H2IA05072"
"N00030667","Kinzinger, Adam","R","IL16","H0IL11052"
"N00012539","Kirk, Mark","R","ILS2","S0IL00261"
"N00029260","Kirkpatrick, Ann","D","AZ01","S6AZ00225"
"N00004436","Kline, John","R","MN02","H8MN06047"
"N00027500","Klobuchar, Amy","D","MNS2","S6MN00267"
"N00035820","Knight, Steve","R","CA25","H4CA25123"
"N00030875","Kuster, Ann Mclane","D","NH02","H0NH02181"
"N00031377","Labrador, Raul","R","ID01","H0ID01253"
"N00037031","LaHood, Darin","R","IL18","H6IL18088"
"N00033987","LaMalfa, Doug","R","CA01","H2CA02142"
"N00028133","Lamborn, Douglas L","R","CO05","H6CO05159"
"N00000898","Lance, Leonard","R","NJ07","H6NJ12136"
"N00009724","Langevin, Jim","D","RI02","H0RI02139"
"N00031129","Lankford, James","R","OKS1","S4OK00232"
"N00009759","Larsen, Rick","D","WA02","H0WA02080"
"N00000575","Larson, John B","D","CT01","H8CT01046"
"N00012233","Latta, Robert E","R","OH05","H8OH05036"
"N00034068","Lawrence, Brenda","D","MI14","H2MI14111"
"N00009918","Leahy, Patrick","D","VTS2","S4VT00017"
"N00008046","Lee, Barbara","D","CA13","H8CA09060"
"N00031696","Lee, Mike","R","UTS2","S0UT00165"
"N00003950","Levin, Sander","D","MI09","H2MI17023"
"N00002577","Lewis, John","D","GA05","H6GA05217"
"N00035825","Lieu, Ted","D","CA33","H4CA33119"
"N00027239","Lipinski, Daniel","D","IL03","H4IL03077"
"N00000851","LoBiondo, Frank A","R","NJ02","H2NJ02037"
"N00027741","Loebsack, David","D","IA02","H6IA02146"
"N00007479","Lofgren, Zoe","D","CA19","H4CA16049"
"N00030676","Long, Billy","R","MO07","H0MO07113"
"N00035347","Loudermilk, Barry","R","GA11","H4GA11061"
"N00033842","Love, Mia","R","UT04","H2UT04023"
"N00033274","Lowenthal, Alan","D","CA47","H2CA00104"
"N00001024","Lowey, Nita M","D","NY17","H8NY20056"
"N00005559","Lucas, Frank D","R","OK03","H4OK06056"
"N00030026","Luetkemeyer, Blaine","R","MO03","H8MO09153"
"N00029562","Lujan, Ben R","D","NM03","H8NM03196"
"N00029788","Lummis, Cynthia","R","WY01","H8WY00148"
"N00013855","Lynch, Stephen F","D","MA08","H2MA09072"
"N00036155","MacArthur, Thomas","R","NJ03","H4NJ03130"
"N00000078","Maloney, Carolyn B","D","NY12","H2NY14037"
"N00034277","Maloney, Sean Patrick","D","NY18","H2NY22139"
"N00032838","Manchin, Joe","D","WVS1","S0WV00090"
"N00026710","Marchant, Kenny","R","TX24","H4TX24094"
"N00031777","Marino, Tom","R","PA10","H0PA10078"
"N00000270","Markey, Ed","D","MAS2","S4MA00028"
"N00034041","Massie, Thomas","R","KY04","H2KY04121"
"N00027459","Matsui, Doris O","D","CA06","H6CA05195"
"N00006424","McCain, John","R","AZS1","S6AZ00019"
"N00028152","McCarthy, Kevin","R","CA23","H6CA22125"
"N00027694","McCaskill, Claire","D","MOS2","S6MO00305"
"N00026460","McCaul, Michael","R","TX10","H4TX10093"
"N00006863","McClintock, Tom","R","CA04","H8CA04152"
"N00012942","McCollum, Betty","D","MN04","H0MN04049"
"N00003389","McConnell, Mitch","R","KYS1","S2KY00012"
"N00009829","McDermott, Jim","D","WA07","H8WA07132"
"N00000179","McGovern, James P","D","MA02","H4MA03022"
"N00026627","McHenry, Patrick","R","NC10","H4NC10047"
"N00031681","McKinley, David","R","WV01","H0WV01072"
"N00026314","McMorris Rodgers, Cathy","R","WA05","H4WA05077"
"N00026926","McNerney, Jerry","D","CA09","H4CA11081"
"N00033982","McSally, Martha","R","AZ02","H2AZ08102"
"N00033631","Meadows, Mark R","R","NC11","H2NC11080"
"N00031134","Meehan, Patrick","R","PA07","H0PA07082"
"N00001171","Meeks, Gregory W","D","NY05","H8NY06048"
"N00000699","Menendez, Robert","D","NJS1","S6NJ00289"
"N00034547","Meng, Grace","D","NY06","H2NY06116"
"N00029303","Merkley, Jeff","D","ORS1","S8OR00207"
"N00012546","Messer, Luke","R","IN06","H0IN02125"
"N00002793","Mica, John L","R","FL07","H2FL08055"
"N00001945","Mikulski, Barbara A","D","MDS2","S6MD00140"
"N00009795","Miller, Candice S","R","MI10","H6MI12181"
"N00013846","Miller, Jeff","R","FL01","H2FL01100"
"N00036275","Moolenaar, John","R","MI04","H4MI04126"
"N00033814","Mooney, Alex","R","WV02","H4WV02080"
"N00026914","Moore, Gwen","D","WI04","H4WI04183"
"N00005282","Moran, Jerry","R","KSS2","S0KS00091"
"N00035431","Moulton, Seth","D","MA06","H4MA06090"
"N00033410","Mullin, Markwayne","R","OK02","H2OK02083"
"N00031412","Mulvaney, Mick","R","SC05","H0SC05031"
"N00026050","Murkowski, Lisa","R","AKS2","S4AK00099"
"N00027566","Murphy, Christopher S","D","CTS1","S2CT00132"
"N00033091","Murphy, Patrick","D","FL18","S6FL00319"
"N00024992","Murphy, Tim","R","PA18","H2PA18143"
"N00007876","Murray, Patty","D","WAS2","S2WA00189"
"N00000939","Nadler, Jerrold","D","NY10","H2NY17071"
"N00006789","Napolitano, Grace","D","CA32","H8CA34068"
"N00000153","Neal, Richard E","D","MA01","H8MA02041"
"N00009926","Nelson, Bill","D","FLS1","S8FL00166"
"N00026043","Neugebauer, Randy","R","TX19","H4TX19102"
"N00036403","Newhouse, Dan","R","WA04","H4WA04104"
"N00032022","Noem, Kristi","R","SD01","H0SD00054"
"N00021207","Nolan, Rick","D","MN08","H2MN08111"
"N00036154","Norcross, Don","D","NJ01","H4NJ01084"
"N00001692","Norton, Eleanor Holmes","D","DC00","H0DC00058"
"N00032441","Nugent, Richard","R","FL11","H0FL05139"
"N00007248","Nunes, Devin","R","CA22","H8CA20059"
"N00031006","Nunnelee, Alan","R","MS01","H0MS01043"
"N00033540","O'Rourke, Beto","D","TX16","H2TX16185"
"N00029285","Olson, Pete","R","TX22","H8TX22107"
"N00031958","Palazzo, Steven","R","MS04","H0MS04120"
"N00000781","Pallone, Frank Jr","D","NJ06","H8NJ03073"
"N00035691","Palmer, Gary","R","AL06","H4AL06098"
"N00000751","Pascrell, Bill Jr","D","NJ09","H6NJ08118"
"N00030836","Paul, Rand","R","KYS2","S0KY00156"
"N00029391","Paulsen, Erik","R","MN03","H8MN03077"
"N00034639","Payne, Donald M Jr","D","NJ10","H2NJ10154"
"N00012672","Pearce, Steve","R","NM02","H2NM02126"
"N00007360","Pelosi, Nancy","D","CA12","H8CA05035"
"N00035516","Perdue, David","R","GAS1","S4GA11285"
"N00027510","Perlmutter, Edwin G","D","CO07","H6CO07023"
"N00034120","Perry, Scott","R","PA04","H2PA04135"
"N00029277","Peters, Gary","D","MIS1","S4MI00355"
"N00033591","Peters, Scott","D","CA52","H2CA52089"
"N00004558","Peterson, Collin","D","MN07","H2MN07014"
"N00029168","Pierluisi, Pedro","D","PR00","H8PR00062"
"N00013817","Pingree, Chellie","D","ME01","H8ME01120"
"N00034416","Pittenger, Robert","R","NC09","H2NC09134"
"N00001633","Pitts, Joe","R","PA16","H6PA16197"
"N00035000","Plaskett, Stacey","D","VI00","H2VI00082"
"N00033549","Pocan, Mark","D","WI02","H2WI02124"
"N00026457","Poe, Ted","R","TX02","H4TX02108"
"N00034584","Poliquin, Bruce","R","ME02","H4ME02234"
"N00029127","Polis, Jared","D","CO02","H8CO02137"
"N00030744","Pompeo, Mike","R","KS04","H0KS04051"
"N00003682","Portman, Rob","R","OHS2","S0OH00133"
"N00029662","Posey, Bill","R","FL08","H8FL15107"
"N00002260","Price, David","D","NC04","H6NC04037"
"N00026160","Price, Tom","R","GA06","H4GA06087"
"N00030581","Quigley, Mike","D","IL05","H0IL05096"
"N00007635","Radewagen, Amata Coleman","R","AS00","H4AS00036"
"N00000964","Rangel, Charles B","D","NY13","H6NY19029"
"N00035972","Ratcliffe, John Lee","R","TX04","H4TX04153"
"N00000362","Reed, Jack","D","RIS2","S6RI00163"
"N00030949","Reed, Tom","R","NY23","H0NY29054"
"N00026885","Reichert, Dave","R","WA08","H4WA08071"
"N00009922","Reid, Harry","D","NVS2","S6NV00028"
"N00031127","Renacci, Jim","R","OH16","H0OH16097"
"N00030968","Ribble, Reid","R","WI08","H0WI08075"
"N00035927","Rice, Kathleen","D","NY04","H4NY04075"
"N00033832","Rice, Tom","R","SC07","H2SC07066"
"N00030184","Richmond, Cedric","D","LA02","H8LA02054"
"N00030962","Rigell, Scott","R","VA02","H0VA02084"
"N00029441","Risch, James E","R","IDS1","S8ID00092"
"N00005285","Roberts, Pat","R","KSS1","S6KS00080"
"N00030768","Roby, Martha","R","AL02","H0AL02087"
"N00028463","Roe, Phil","R","TN01","H6TN01388"
"N00003473","Rogers, Hal","R","KY05","H0KY05015"
"N00024759","Rogers, Mike D","R","AL03","H2AL03032"
"N00007151","Rohrabacher, Dana","R","CA48","H8CA42061"
"N00031741","Rokita, Todd","R","IN04","H0IN04170"
"N00029018","Rooney, Tom","R","FL17","H8FL16022"
"N00002858","Ros-Lehtinen, Ileana","R","FL27","H0FL18025"
"N00004719","Roskam, Peter","R","IL06","H6IL06117"
"N00030645","Ross, Dennis","R","FL15","H0FL12101"
"N00031253","Rothfus, Keith J","R","PA12","H0PA04220"
"N00035187","Rounds, Mike","R","SDS2","S4SD00049"
"N00033527","Rouzer, David","R","NC07","H2NC07096"
"N00006671","Roybal-Allard, Lucille","D","CA40","H2CA33048"
"N00008264","Royce, Ed","R","CA39","H6CA39020"
"N00030612","Rubio, Marco","R","FLS2","P60006723"
"N00033510","Ruiz, Raul","D","CA36","H2CA36439"
"N00025482","Ruppersberger, Dutch","D","MD02","H2MD02160"
"N00004887","Rush, Bobby L","D","IL01","H2IL01042"
"N00036175","Russell, Steven","R","OK05","H4OK05132"
"N00004357","Ryan, Paul","R","WI01","H8WI01024"
"N00025280","Ryan, Tim","D","OH13","H2OH17109"
"N00006446","Salmon, Matt","R","AZ05","H4AZ01038"
"N00024870","Sanchez, Linda","D","CA38","H2CA39078"
"N00008274","Sanchez, Loretta","D","CA46","S6CA00691"
"N00000528","Sanders, Bernie","D","VTS1","P60007168"
"N00002424","Sanford, Mark","R","SC01","H4SC01073"
"N00027751","Sarbanes, John","D","MD03","H6MD03292"
"N00035544","Sasse, Ben","R","NES2","S4NE00090"
"N00009660","Scalise, Steve","R","LA01","H0LA01087"
"N00004724","Schakowsky, Jan","D","IL09","H8IL09067"
"N00028138","Schatz, Brian","D","HIS1","S4HI00136"
"N00009585","Schiff, Adam","D","CA28","H0CA27085"
"N00029273","Schock, Aaron","R","IL18","H8IL18043"
"N00030071","Schrader, Kurt","D","OR05","H8OR05107"
"N00026106","Schultz, Debbie Wasserman","D","FL23","H4FL20023"
"N00001093","Schumer, Charles E","D","NYS2","S8NY00082"
"N00006460","Schweikert, David","R","AZ06","H4AZ06045"
"N00032457","Scott, Austin","R","GA08","H0GA08099"
"N00002147","Scott, Bobby","D","VA03","H6VA01117"
"N00024871","Scott, David","D","GA13","H2GA13012"
"N00031782","Scott, Tim","R","SCS1","S4SC00240"
"N00004291","Sensenbrenner, F James Jr","R","WI05","H8WI09050"
"N00001813","Serrano, Jose E","D","NY15","H0NY18065"
"N00003062","Sessions, Jeff","R","ALS1","S6AL00195"
"N00005681","Sessions, Pete","R","TX32","H2TX03126"
"N00030622","Sewell, Terri A","D","AL07","H0AL07086"
"N00024790","Shaheen, Jeanne","D","NHS2","S0NH00219"
"N00009920","Shelby, Richard C","R","ALS2","S6AL00013"
"N00006897","Sherman, Brad","D","CA30","H6CA24113"
"N00004961","Shimkus, John M","R","IL15","H2IL20042"
"N00013770","Shuster, Bill","R","PA09","H2PA09035"
"N00006263","Simpson, Mike","R","ID02","H8ID02064"
"N00033983","Sinema, Kyrsten","D","AZ09","H2AZ09019"
"N00027523","Sires, Albio","D","NJ08","H6NJ13191"
"N00001311","Slaughter, Louise M","D","NY25","H6NY03031"
"N00007833","Smith, Adam","D","WA09","H6WA09025"
